Job Title,Job Category,Date Posted,Company Name,Job Location,Job Expired Date,Minimal Salary,Maximal Salary,Employment Type,Job URL
Sales Advisor area Karawang Mobil88,Marketing,19-10-2023,PT SWAPRO INTERNATONAL,Karawang,2023-11-19,4900000,5500000,CONTRACTOR,https://glints.com/id/en/opportunities/jobs/sales-advisor-area-karawang-mobil88/534723c4-1482-4252-b50e-41bd995e463b
Frontliner (Malang),Accounting & Finance,18-10-2023,PT Bank Mega Tbk - Jawa Timur,Malang,2023-11-18,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/frontliner-malang/421bdd6a-9a69-4fea-b795-79f96f925653
Frontliner (Jember),Accounting & Finance,18-10-2023,PT Bank Mega Tbk - Jawa Timur,Jember,2023-11-18,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/frontliner-jember/90d60f2c-7d42-49ed-9d61-ae696f492628
Frontliner (Probolinggo),Accounting & Finance,18-10-2023,PT Bank Mega Tbk - Jawa Timur,Probolinggo,2023-11-18,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/frontliner-probolinggo/caa1099a-d171-4556-9be4-9b50ae52d808
Frontliner (Tuban),Accounting & Finance,18-10-2023,PT Bank Mega Tbk - Jawa Timur,Tuban,2023-11-18,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/frontliner-tuban/7b138421-e7bf-4f3a-b750-a4f355477130
Frontliner (Jombang),Accounting & Finance,18-10-2023,PT Bank Mega Tbk - Jawa Timur,Jombang,2023-11-18,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/frontliner-jombang/b78217e3-1863-47b6-ae44-2e16f41158dc
KOL Specialist,Digital Marketing,19-10-2023,PT.SEKAWAN KOSMETIK WASANTARA,Sidoarjo,2023-11-19,4500000,6000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/kol-specialist/1f1cbebc-6c44-44e2-b891-3e00a66cd626
Teknisi Handphone,Computer & Information Technology,18-10-2023,GreenBox Data Center,Tangerang,2023-11-18,5000000,6000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/teknisi-handphone/2cf7ab10-2cba-4998-8d0a-b12ea1f82340
Site Manager,Business Development & Sales,18-10-2023,PT Prevented Ocean Plastic Indonesia,Sukabumi,2023-11-18,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/site-manager/b33c5f49-49ce-4619-903f-4904ead9ea73
Agen Properti Profesional,Real Estate & Architecture,18-10-2023,IN.COME Realty,Jakarta Barat,2023-11-18,,,PART_TIME,https://glints.com/id/en/opportunities/jobs/agen-properti-profesional/5b7525c9-4e8c-450e-b03f-0b51c5c6d36a
